Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-10
Record Length,50000
Zero Index,24999.50000000
Vertical Units,V

Labels,
TIME,CH1
-9.90780000e-06,1.06460000e-02
-9.90740000e-06,1.06460000e-02
-9.90700000e-06,1.06460000e-02
-9.90660000e-06,1.06460000e-02
-9.90620000e-06,1.06460000e-02
-9.90580000e-06,1.06460000e-02
-9.90540000e-06,1.08180000e-02
-9.90500000e-06,1.08180000e-02
-9.90460000e-06,1.09900000e-02
-9.90420000e-06,1.09900000e-02
-9.90380000e-06,1.11620000e-02
-9.90340000e-06,1.13340000e-02
-9.90300000e-06,1.13340000e-02
-9.90260000e-06,1.13340000e-02
-9.90220000e-06,1.13340000e-02
-9.90180000e-06,1.13340000e-02
-9.90140000e-06,1.13340000e-02
-9.90100000e-06,1.13340000e-02
-9.90060000e-06,1.13340000e-02
-9.90020000e-06,1.11620000e-02
-9.89980000e-06,1.11620000e-02
-9.89940000e-06,1.11620000e-02
-9.89900000e-06,1.11620000e-02
-9.89860000e-06,1.11620000e-02
-9.89820000e-06,1.11620000e-02
-9.89780000e-06,1.11620000e-02
-9.89740000e-06,1.11620000e-02
-9.89700000e-06,1.11620000e-02
-9.89660000e-06,1.11620000e-02
-9.89620000e-06,1.11620000e-02
-9.89580000e-06,1.11620000e-02
-9.89540000e-06,1.11620000e-02
-9.89500000e-06,1.13340000e-02
-9.89460000e-06,1.13340000e-02
-9.89420000e-06,1.15060000e-02
-9.89380000e-06,1.13340000e-02
-9.89340000e-06,1.13340000e-02
-9.89300000e-06,1.11620000e-02
-9.89260000e-06,1.11620000e-02
-9.89220000e-06,1.09900000e-02
-9.89180000e-06,1.09900000e-02
-9.89140000e-06,1.09900000e-02
-9.89100000e-06,1.11620000e-02
-9.89060000e-06,1.11620000e-02
-9.89020000e-06,1.11620000e-02
-9.88980000e-06,1.11620000e-02
-9.88940000e-06,1.13340000e-02
-9.88900000e-06,1.13340000e-02
-9.88860000e-06,1.13340000e-02
-9.88820000e-06,1.13340000e-02
-9.88780000e-06,1.13340000e-02
-9.88740000e-06,1.13340000e-02
-9.88700000e-06,1.13340000e-02
-9.88660000e-06,1.13340000e-02
-9.88620000e-06,1.13340000e-02
-9.88580000e-06,1.11620000e-02
-9.88540000e-06,1.11620000e-02
-9.88500000e-06,1.11620000e-02
-9.88460000e-06,1.11620000e-02
-9.88420000e-06,1.09900000e-02
-9.88380000e-06,1.09900000e-02
-9.88340000e-06,1.09900000e-02
-9.88300000e-06,1.09900000e-02
-9.88260000e-06,1.09900000e-02
-9.88220000e-06,1.11620000e-02
-9.88180000e-06,1.11620000e-02
-9.88140000e-06,1.11620000e-02
-9.88100000e-06,1.11620000e-02
-9.88060000e-06,1.11620000e-02
-9.88020000e-06,1.11620000e-02
-9.87980000e-06,1.11620000e-02
-9.87940000e-06,1.11620000e-02
-9.87900000e-06,1.11620000e-02
-9.87860000e-06,1.13340000e-02
-9.87820000e-06,1.13340000e-02
-9.87780000e-06,1.13340000e-02
-9.87740000e-06,1.13340000e-02
-9.87700000e-06,1.11620000e-02
-9.87660000e-06,1.11620000e-02
-9.87620000e-06,1.11620000e-02
-9.87580000e-06,1.11620000e-02
-9.87540000e-06,1.11620000e-02
-9.87500000e-06,1.11620000e-02
-9.87460000e-06,1.11620000e-02
-9.87420000e-06,1.11620000e-02
-9.87380000e-06,1.13340000e-02
-9.87340000e-06,1.13340000e-02
-9.87300000e-06,1.13340000e-02
-9.87260000e-06,1.11620000e-02
-9.87220000e-06,1.11620000e-02
-9.87180000e-06,1.09900000e-02
-9.87140000e-06,1.09900000e-02
-9.87100000e-06,1.08180000e-02
-9.87060000e-06,1.08180000e-02
