Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.00000000e-09
Record Length,250000
Zero Index,124999.18750000
Vertical Units,V

Labels,
TIME,CH1
-9.96993500e-04,1.36000000e-01
-9.96985500e-04,1.36000000e-01
-9.96977500e-04,1.36000000e-01
-9.96969500e-04,1.36000000e-01
-9.96961500e-04,1.36800000e-01
-9.96953500e-04,1.36000000e-01
-9.96945500e-04,1.36800000e-01
-9.96937500e-04,1.36000000e-01
-9.96929500e-04,1.36000000e-01
-9.96921500e-04,1.36800000e-01
-9.96913500e-04,1.36800000e-01
-9.96905500e-04,1.36000000e-01
-9.96897500e-04,1.36800000e-01
-9.96889500e-04,1.36000000e-01
-9.96881500e-04,1.36800000e-01
-9.96873500e-04,1.36000000e-01
-9.96865500e-04,1.36000000e-01
-9.96857500e-04,1.36000000e-01
-9.96849500e-04,1.36000000e-01
-9.96841500e-04,1.36000000e-01
-9.96833500e-04,1.36000000e-01
-9.96825500e-04,1.36000000e-01
-9.96817500e-04,1.36000000e-01
-9.96809500e-04,1.36000000e-01
-9.96801500e-04,1.35200000e-01
-9.96793500e-04,1.36000000e-01
-9.96785500e-04,1.36000000e-01
-9.96777500e-04,1.36800000e-01
-9.96769500e-04,1.35200000e-01
-9.96761500e-04,1.36000000e-01
-9.96753500e-04,1.36000000e-01
-9.96745500e-04,1.36000000e-01
-9.96737500e-04,1.36000000e-01
-9.96729500e-04,1.36000000e-01
-9.96721500e-04,1.36000000e-01
-9.96713500e-04,1.35200000e-01
-9.96705500e-04,1.36000000e-01
-9.96697500e-04,1.36000000e-01
-9.96689500e-04,1.36000000e-01
-9.96681500e-04,1.36000000e-01
-9.96673500e-04,1.36000000e-01
-9.96665500e-04,1.36800000e-01
-9.96657500e-04,1.36000000e-01
-9.96649500e-04,1.36000000e-01
-9.96641500e-04,1.36000000e-01
-9.96633500e-04,1.36000000e-01
-9.96625500e-04,1.36000000e-01
-9.96617500e-04,1.36000000e-01
-9.96609500e-04,1.36000000e-01
-9.96601500e-04,1.36800000e-01
-9.96593500e-04,1.36000000e-01
-9.96585500e-04,1.36800000e-01
-9.96577500e-04,1.36000000e-01
-9.96569500e-04,1.36000000e-01
-9.96561500e-04,1.36000000e-01
-9.96553500e-04,1.36000000e-01
-9.96545500e-04,1.36800000e-01
-9.96537500e-04,1.36000000e-01
-9.96529500e-04,1.36000000e-01
-9.96521500e-04,1.36800000e-01
-9.96513500e-04,1.36000000e-01
-9.96505500e-04,1.36000000e-01
-9.96497500e-04,1.36800000e-01
-9.96489500e-04,1.36000000e-01
-9.96481500e-04,1.36000000e-01
-9.96473500e-04,1.36000000e-01
-9.96465500e-04,1.36000000e-01
-9.96457500e-04,1.36800000e-01
-9.96449500e-04,1.36000000e-01
-9.96441500e-04,1.36800000e-01
-9.96433500e-04,1.36800000e-01
-9.96425500e-04,1.36800000e-01
-9.96417500e-04,1.36000000e-01
-9.96409500e-04,1.36000000e-01
-9.96401500e-04,1.36000000e-01
-9.96393500e-04,1.36000000e-01
-9.96385500e-04,1.36000000e-01
-9.96377500e-04,1.36800000e-01
-9.96369500e-04,1.36000000e-01
-9.96361500e-04,1.36800000e-01
-9.96353500e-04,1.36000000e-01
-9.96345500e-04,1.36000000e-01
-9.96337500e-04,1.36000000e-01
-9.96329500e-04,1.36000000e-01
-9.96321500e-04,1.36000000e-01
-9.96313500e-04,1.36000000e-01
-9.96305500e-04,1.36000000e-01
-9.96297500e-04,1.36000000e-01
-9.96289500e-04,1.36000000e-01
-9.96281500e-04,1.36000000e-01
-9.96273500e-04,1.35200000e-01
-9.96265500e-04,1.36000000e-01
-9.96257500e-04,1.36800000e-01
-9.96249500e-04,1.36000000e-01
-9.96241500e-04,1.36000000e-01
-9.96233500e-04,1.36000000e-01
-9.96225500e-04,1.36000000e-01
-9.96217500e-04,1.36000000e-01
-9.96209500e-04,1.36800000e-01
-9.96201500e-04,1.35200000e-01
-9.96193500e-04,1.36800000e-01
-9.96185500e-04,1.36000000e-01
-9.96177500e-04,1.36000000e-01
-9.96169500e-04,1.36000000e-01
-9.96161500e-04,1.36000000e-01
-9.96153500e-04,1.36000000e-01
-9.96145500e-04,1.36800000e-01
-9.96137500e-04,1.36000000e-01
-9.96129500e-04,1.36000000e-01
-9.96121500e-04,1.36000000e-01
-9.96113500e-04,1.36000000e-01
-9.96105500e-04,1.36000000e-01
-9.96097500e-04,1.36000000e-01
-9.96089500e-04,1.36800000e-01
-9.96081500e-04,1.36000000e-01
-9.96073500e-04,1.36000000e-01
-9.96065500e-04,1.36800000e-01
-9.96057500e-04,1.36000000e-01
-9.96049500e-04,1.36800000e-01
-9.96041500e-04,1.36000000e-01
-9.96033500e-04,1.36000000e-01
-9.96025500e-04,1.36800000e-01
-9.96017500e-04,1.35200000e-01
-9.96009500e-04,1.36000000e-01
-9.96001500e-04,1.36000000e-01
-9.95993500e-04,1.36000000e-01
-9.95985500e-04,1.36800000e-01
-9.95977500e-04,1.36000000e-01
-9.95969500e-04,1.36000000e-01
-9.95961500e-04,1.36000000e-01
-9.95953500e-04,1.36000000e-01
-9.95945500e-04,1.36000000e-01
-9.95937500e-04,1.36000000e-01
-9.95929500e-04,1.36000000e-01
-9.95921500e-04,1.36000000e-01
-9.95913500e-04,1.36800000e-01
-9.95905500e-04,1.35200000e-01
-9.95897500e-04,1.36000000e-01
-9.95889500e-04,1.36000000e-01
-9.95881500e-04,1.36000000e-01
-9.95873500e-04,1.36800000e-01
-9.95865500e-04,1.36000000e-01
-9.95857500e-04,1.36800000e-01
-9.95849500e-04,1.36800000e-01
-9.95841500e-04,1.36800000e-01
-9.95833500e-04,1.36800000e-01
-9.95825500e-04,1.36000000e-01
-9.95817500e-04,1.36000000e-01
-9.95809500e-04,1.36000000e-01
-9.95801500e-04,1.36000000e-01
-9.95793500e-04,1.36800000e-01
-9.95785500e-04,1.36000000e-01
-9.95777500e-04,1.36800000e-01
-9.95769500e-04,1.36800000e-01
-9.95761500e-04,1.36000000e-01
-9.95753500e-04,1.36800000e-01
-9.95745500e-04,1.36800000e-01
-9.95737500e-04,1.36000000e-01
-9.95729500e-04,1.36000000e-01
-9.95721500e-04,1.36000000e-01
-9.95713500e-04,1.36000000e-01
-9.95705500e-04,1.36800000e-01
-9.95697500e-04,1.36000000e-01
-9.95689500e-04,1.36000000e-01
-9.95681500e-04,1.36000000e-01
-9.95673500e-04,1.36000000e-01
-9.95665500e-04,1.36000000e-01
-9.95657500e-04,1.36000000e-01
-9.95649500e-04,1.36800000e-01
-9.95641500e-04,1.36000000e-01
-9.95633500e-04,1.36000000e-01
-9.95625500e-04,1.36000000e-01
-9.95617500e-04,1.36000000e-01
-9.95609500e-04,1.36000000e-01
-9.95601500e-04,1.36000000e-01
-9.95593500e-04,1.36800000e-01
-9.95585500e-04,1.36000000e-01
-9.95577500e-04,1.35200000e-01
-9.95569500e-04,1.36000000e-01
-9.95561500e-04,1.36000000e-01
-9.95553500e-04,1.36000000e-01
-9.95545500e-04,1.36000000e-01
-9.95537500e-04,1.36000000e-01
-9.95529500e-04,1.36000000e-01
-9.95521500e-04,1.36800000e-01
-9.95513500e-04,1.36000000e-01
-9.95505500e-04,1.36000000e-01
-9.95497500e-04,1.36000000e-01
-9.95489500e-04,1.36000000e-01
-9.95481500e-04,1.36000000e-01
-9.95473500e-04,1.36800000e-01
-9.95465500e-04,1.35200000e-01
-9.95457500e-04,1.36800000e-01
-9.95449500e-04,1.36000000e-01
-9.95441500e-04,1.36000000e-01
-9.95433500e-04,1.36800000e-01
-9.95425500e-04,1.36000000e-01
-9.95417500e-04,1.36000000e-01
-9.95409500e-04,1.36800000e-01
-9.95401500e-04,1.36000000e-01
-9.95393500e-04,1.36000000e-01
-9.95385500e-04,1.36000000e-01
-9.95377500e-04,1.36800000e-01
-9.95369500e-04,1.36000000e-01
-9.95361500e-04,1.36800000e-01
-9.95353500e-04,1.36000000e-01
-9.95345500e-04,1.36800000e-01
-9.95337500e-04,1.36000000e-01
-9.95329500e-04,1.36800000e-01
-9.95321500e-04,1.35200000e-01
-9.95313500e-04,1.36000000e-01
-9.95305500e-04,1.36000000e-01
-9.95297500e-04,1.36000000e-01
-9.95289500e-04,1.36800000e-01
-9.95281500e-04,1.36000000e-01
-9.95273500e-04,1.37600000e-01
-9.95265500e-04,1.36800000e-01
-9.95257500e-04,1.36000000e-01
-9.95249500e-04,1.36000000e-01
-9.95241500e-04,1.36000000e-01
-9.95233500e-04,1.36000000e-01
-9.95225500e-04,1.36800000e-01
-9.95217500e-04,1.36000000e-01
-9.95209500e-04,1.36000000e-01
-9.95201500e-04,1.36800000e-01
-9.95193500e-04,1.35200000e-01
-9.95185500e-04,1.36000000e-01
-9.95177500e-04,1.36000000e-01
-9.95169500e-04,1.36000000e-01
-9.95161500e-04,1.36000000e-01
-9.95153500e-04,1.36000000e-01
-9.95145500e-04,1.36000000e-01
-9.95137500e-04,1.35200000e-01
-9.95129500e-04,1.36000000e-01
-9.95121500e-04,1.36000000e-01
-9.95113500e-04,1.36000000e-01
-9.95105500e-04,1.36000000e-01
-9.95097500e-04,1.35200000e-01
-9.95089500e-04,1.36000000e-01
-9.95081500e-04,1.36000000e-01
-9.95073500e-04,1.36000000e-01
-9.95065500e-04,1.36000000e-01
-9.95057500e-04,1.36800000e-01
-9.95049500e-04,1.36000000e-01
-9.95041500e-04,1.36000000e-01
-9.95033500e-04,1.36000000e-01
-9.95025500e-04,1.36000000e-01
-9.95017500e-04,1.36800000e-01
-9.95009500e-04,1.36000000e-01
-9.95001500e-04,1.36000000e-01
-9.94993500e-04,1.36800000e-01
-9.94985500e-04,1.36000000e-01
-9.94977500e-04,1.36000000e-01
-9.94969500e-04,1.36000000e-01
