Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,250000
Zero Index,172499.56250000
Vertical Units,V

Labels,
TIME,CH4
-6.88702250e-03,4.78000000e-02
-6.88698250e-03,4.58000000e-02
-6.88694250e-03,4.78000000e-02
-6.88690250e-03,4.78000000e-02
-6.88686250e-03,4.58000000e-02
-6.88682250e-03,4.58000000e-02
-6.88678250e-03,4.78000000e-02
-6.88674250e-03,4.78000000e-02
-6.88670250e-03,4.58000000e-02
-6.88666250e-03,4.58000000e-02
-6.88662250e-03,4.58000000e-02
-6.88658250e-03,4.78000000e-02
-6.88654250e-03,4.58000000e-02
-6.88650250e-03,4.58000000e-02
-6.88646250e-03,4.78000000e-02
-6.88642250e-03,4.58000000e-02
-6.88638250e-03,4.78000000e-02
-6.88634250e-03,4.58000000e-02
-6.88630250e-03,4.78000000e-02
-6.88626250e-03,4.58000000e-02
-6.88622250e-03,4.78000000e-02
-6.88618250e-03,4.58000000e-02
-6.88614250e-03,4.58000000e-02
-6.88610250e-03,4.58000000e-02
-6.88606250e-03,4.78000000e-02
-6.88602250e-03,4.58000000e-02
-6.88598250e-03,4.78000000e-02
-6.88594250e-03,4.78000000e-02
-6.88590250e-03,4.78000000e-02
-6.88586250e-03,4.58000000e-02
-6.88582250e-03,4.78000000e-02
-6.88578250e-03,4.58000000e-02
-6.88574250e-03,4.58000000e-02
-6.88570250e-03,4.58000000e-02
-6.88566250e-03,4.78000000e-02
-6.88562250e-03,4.78000000e-02
-6.88558250e-03,4.58000000e-02
-6.88554250e-03,4.78000000e-02
-6.88550250e-03,4.58000000e-02
-6.88546250e-03,4.58000000e-02
-6.88542250e-03,4.58000000e-02
-6.88538250e-03,4.58000000e-02
-6.88534250e-03,4.58000000e-02
-6.88530250e-03,4.58000000e-02
-6.88526250e-03,4.78000000e-02
-6.88522250e-03,4.78000000e-02
-6.88518250e-03,4.58000000e-02
-6.88514250e-03,4.58000000e-02
-6.88510250e-03,4.58000000e-02
-6.88506250e-03,4.58000000e-02
-6.88502250e-03,4.78000000e-02
-6.88498250e-03,4.58000000e-02
-6.88494250e-03,4.58000000e-02
-6.88490250e-03,4.58000000e-02
-6.88486250e-03,4.58000000e-02
-6.88482250e-03,4.58000000e-02
-6.88478250e-03,4.78000000e-02
-6.88474250e-03,4.58000000e-02
-6.88470250e-03,4.58000000e-02
-6.88466250e-03,4.58000000e-02
-6.88462250e-03,4.58000000e-02
-6.88458250e-03,4.58000000e-02
-6.88454250e-03,4.58000000e-02
-6.88450250e-03,4.78000000e-02
-6.88446250e-03,4.58000000e-02
-6.88442250e-03,4.58000000e-02
-6.88438250e-03,4.58000000e-02
-6.88434250e-03,4.78000000e-02
-6.88430250e-03,4.58000000e-02
-6.88426250e-03,4.78000000e-02
-6.88422250e-03,4.58000000e-02
-6.88418250e-03,4.58000000e-02
-6.88414250e-03,4.58000000e-02
-6.88410250e-03,4.78000000e-02
-6.88406250e-03,4.58000000e-02
-6.88402250e-03,4.58000000e-02
-6.88398250e-03,4.58000000e-02
-6.88394250e-03,4.58000000e-02
-6.88390250e-03,4.78000000e-02
-6.88386250e-03,4.58000000e-02
-6.88382250e-03,4.78000000e-02
-6.88378250e-03,4.58000000e-02
-6.88374250e-03,4.78000000e-02
-6.88370250e-03,4.58000000e-02
-6.88366250e-03,4.58000000e-02
-6.88362250e-03,4.58000000e-02
-6.88358250e-03,4.58000000e-02
-6.88354250e-03,4.78000000e-02
-6.88350250e-03,4.58000000e-02
-6.88346250e-03,4.58000000e-02
-6.88342250e-03,4.58000000e-02
-6.88338250e-03,4.58000000e-02
-6.88334250e-03,4.58000000e-02
-6.88330250e-03,4.78000000e-02
-6.88326250e-03,4.58000000e-02
-6.88322250e-03,4.78000000e-02
-6.88318250e-03,4.58000000e-02
-6.88314250e-03,4.58000000e-02
-6.88310250e-03,4.58000000e-02
-6.88306250e-03,4.58000000e-02
-6.88302250e-03,4.58000000e-02
-6.88298250e-03,4.58000000e-02
-6.88294250e-03,4.58000000e-02
-6.88290250e-03,4.58000000e-02
-6.88286250e-03,4.58000000e-02
-6.88282250e-03,4.58000000e-02
